collection_date,collection_time,date,departure_date,route,airline,source,lead_time,base_fare,taxes,fees,total_fare,availability
2026-09-04,10:32:11,2026-09-04,2026-09-05,DEL-BOM,IndiGo,google_flights,1,,,,5985.0,available
2026-09-04,10:32:11,2026-09-04,2026-09-05,DEL-BOM,Air India,google_flights,1,,,,6364.0,available
2026-09-04,10:32:11,2026-09-04,2026-09-05,DEL-BOM,SpiceJet,google_flights,1,,,,7719.0,available
2026-09-04,10:32:11,2026-09-04,2026-09-05,DEL-BOM,Akasa Air,google_flights,1,,,,6880.0,available
2026-09-04,10:32:11,2026-09-04,2026-09-11,DEL-BOM,IndiGo,google_flights,7,,,,5985.0,available
2026-09-04,10:32:11,2026-09-04,2026-09-11,DEL-BOM,Air India,google_flights,7,,,,6582.0,available
2026-09-04,10:32:11,2026-09-04,2026-09-11,DEL-BOM,SpiceJet,google_flights,7,,,,8599.0,available
2026-09-04,10:32:11,2026-09-04,2026-09-11,DEL-BOM,Akasa Air,google_flights,7,,,,6880.0,available
2026-09-04,10:32:11,2026-09-04,2026-09-19,DEL-BOM,IndiGo,google_flights,15,,,,6425.0,available
2026-09-04,10:32:11,2026-09-04,2026-09-19,DEL-BOM,Air India,google_flights,15,,,,6582.0,available
2026-09-04,10:32:11,2026-09-04,2026-09-19,DEL-BOM,SpiceJet,google_flights,15,,,,7335.0,available
2026-09-04,10:32:11,2026-09-04,2026-09-19,DEL-BOM,Akasa Air,google_flights,15,,,,6880.0,available
2026-09-04,10:32:11,2026-09-04,2026-10-04,DEL-BOM,IndiGo,google_flights,30,,,,6425.0,available
2026-09-04,10:32:11,2026-09-04,2026-10-04,DEL-BOM,Air India,google_flights,30,,,,6582.0,available
2026-09-04,10:32:11,2026-09-04,2026-10-04,DEL-BOM,SpiceJet,google_flights,30,,,,6697.0,available
2026-09-04,10:32:11,2026-09-04,2026-10-04,DEL-BOM,Akasa Air,google_flights,30,,,,6880.0,available
2026-09-04,10:32:11,2026-09-04,2026-10-19,DEL-BOM,IndiGo,google_flights,45,,,,6513.0,available
2026-09-04,10:32:11,2026-09-04,2026-10-19,DEL-BOM,Air India,google_flights,45,,,,6610.0,available
2026-09-04,10:32:11,2026-09-04,2026-10-19,DEL-BOM,SpiceJet,google_flights,45,,,,6778.0,available
2026-09-04,10:32:11,2026-09-04,2026-10-19,DEL-BOM,Akasa Air,google_flights,45,,,,6880.0,available
2026-09-04,10:32:11,2026-09-04,2026-09-05,DEL-BLR,IndiGo,google_flights,1,,,,9292.0,available
2026-09-04,10:32:11,2026-09-04,2026-09-05,DEL-BLR,Air India,google_flights,1,,,,9340.0,available
2026-09-04,10:32:11,2026-09-04,2026-09-05,DEL-BLR,Akasa Air,google_flights,1,,,,10209.0,available
2026-09-04,10:32:11,2026-09-04,2026-09-11,DEL-BLR,IndiGo,google_flights,7,,,,8386.0,available
2026-09-04,10:32:11,2026-09-04,2026-09-11,DEL-BLR,Air India,google_flights,7,,,,9340.0,available
2026-09-04,10:32:11,2026-09-04,2026-09-11,DEL-BLR,Akasa Air,google_flights,7,,,,9179.0,available
2026-09-04,10:32:11,2026-09-04,2026-09-19,DEL-BLR,IndiGo,google_flights,15,,,,8724.0,available
2026-09-04,10:32:11,2026-09-04,2026-09-19,DEL-BLR,Air India,google_flights,15,,,,8883.0,available
2026-09-04,10:32:11,2026-09-04,2026-09-19,DEL-BLR,Akasa Air,google_flights,15,,,,9508.0,available
2026-09-04,10:32:11,2026-09-04,2026-10-04,DEL-BLR,IndiGo,google_flights,30,,,,8724.0,available
2026-09-04,10:32:11,2026-09-04,2026-10-04,DEL-BLR,Air India,google_flights,30,,,,9264.0,available
2026-09-04,10:32:11,2026-09-04,2026-10-04,DEL-BLR,Akasa Air,google_flights,30,,,,10209.0,available
2026-09-04,10:32:11,2026-09-04,2026-10-19,DEL-BLR,IndiGo,google_flights,45,,,,9841.0,available
2026-09-04,10:32:11,2026-09-04,2026-10-19,DEL-BLR,Air India,google_flights,45,,,,9264.0,available
2026-09-04,10:32:11,2026-09-04,2026-10-19,DEL-BLR,SpiceJet,google_flights,45,,,,10036.0,available
2026-09-04,10:32:11,2026-09-04,2026-10-19,DEL-BLR,Akasa Air,google_flights,45,,,,10967.0,available
2026-09-04,10:32:11,2026-09-04,2026-09-05,BOM-BLR,IndiGo,google_flights,1,,,,5148.0,available
2026-09-04,10:32:11,2026-09-04,2026-09-05,BOM-BLR,Air India,google_flights,1,,,,6350.0,available
2026-09-04,10:32:11,2026-09-04,2026-09-05,BOM-BLR,Akasa Air,google_flights,1,,,,7264.0,available
2026-09-04,10:32:11,2026-09-04,2026-09-11,BOM-BLR,IndiGo,google_flights,7,,,,6614.0,available
2026-09-04,10:32:11,2026-09-04,2026-09-11,BOM-BLR,Air India,google_flights,7,,,,7432.0,available
2026-09-04,10:32:11,2026-09-04,2026-09-11,BOM-BLR,Akasa Air,google_flights,7,,,,9175.0,available
