date,route,airline,source,lead_time,total_fare
2026-08-01,DEL-BOM,IndiGo,Airline,1,9500
2026-08-01,DEL-BOM,Air India,Airline,1,10200
2026-08-01,DEL-BOM,IndiGo,Airline,7,5200
2026-08-01,DEL-BOM,Air India,Airline,7,5800
2026-08-01,DEL-BOM,IndiGo,Airline,30,4200
2026-08-01,DEL-BOM,Air India,Airline,30,4800

2026-08-01,DEL-BLR,IndiGo,Airline,1,11000
2026-08-01,DEL-BLR,Air India,Airline,1,11800
2026-08-01,DEL-BLR,IndiGo,Airline,7,6100
2026-08-01,DEL-BLR,Air India,Airline,7,6700
2026-08-01,DEL-BLR,IndiGo,Airline,30,5000
2026-08-01,DEL-BLR,Air India,Airline,30,5500

2026-08-01,BOM-BLR,IndiGo,Airline,1,8500
2026-08-01,BOM-BLR,Air India,Airline,1,9200
2026-08-01,BOM-BLR,IndiGo,Airline,7,4500
2026-08-01,BOM-BLR,Air India,Airline,7,5100
2026-08-01,BOM-BLR,IndiGo,Airline,30,3800
2026-08-01,BOM-BLR,Air India,Airline,30,4200

2026-08-01,DEL-HYD,IndiGo,Airline,1,9000
2026-08-01,DEL-HYD,Air India,Airline,1,9700
2026-08-01,DEL-HYD,IndiGo,Airline,7,5000
2026-08-01,DEL-HYD,Air India,Airline,7,5600
2026-08-01,DEL-HYD,IndiGo,Airline,30,4100
2026-08-01,DEL-HYD,Air India,Airline,30,4500

2026-08-08,DEL-BOM,IndiGo,Airline,1,10800
2026-08-08,DEL-BOM,Air India,Airline,1,11600
2026-08-08,DEL-BOM,IndiGo,Airline,7,5500
2026-08-08,DEL-BOM,Air India,Airline,7,6200
2026-08-08,DEL-BOM,IndiGo,Airline,30,4300
2026-08-08,DEL-BOM,Air India,Airline,30,4900

2026-08-08,DEL-BLR,IndiGo,Airline,1,12500
2026-08-08,DEL-BLR,Air India,Airline,1,13200
2026-08-08,DEL-BLR,IndiGo,Airline,7,6500
2026-08-08,DEL-BLR,Air India,Airline,7,7100
2026-08-08,DEL-BLR,IndiGo,Airline,30,5300
2026-08-08,DEL-BLR,Air India,Airline,30,5800

2026-08-08,BOM-BLR,IndiGo,Airline,1,9200
2026-08-08,BOM-BLR,Air India,Airline,1,9800
2026-08-08,BOM-BLR,IndiGo,Airline,7,4800
2026-08-08,BOM-BLR,Air India,Airline,7,5500
2026-08-08,BOM-BLR,IndiGo,Airline,30,3900
2026-08-08,BOM-BLR,Air India,Airline,30,4400

2026-08-08,DEL-HYD,IndiGo,Airline,1,10300
2026-08-08,DEL-HYD,Air India,Airline,1,11000
2026-08-08,DEL-HYD,IndiGo,Airline,7,5400
2026-08-08,DEL-HYD,Air India,Airline,7,6100
2026-08-08,DEL-HYD,IndiGo,Airline,30,4200
2026-08-08,DEL-HYD,Air India,Airline,30,4700

2026-08-08,DEL-BOM,IndiGo,Airline,7,0
2026-08-08,DEL-BOM,IndiGo,Airline,7,-500
2026-08-08,DEL-BOM,IndiGo,Airline,7,5500

2026-08-15,DEL-BOM,IndiGo,Airline,1,11200
2026-08-15,DEL-BOM,Air India,Airline,1,12100
2026-08-15,DEL-BOM,IndiGo,Airline,7,5800
2026-08-15,DEL-BOM,Air India,Airline,7,6500
2026-08-15,DEL-BOM,IndiGo,Airline,30,4400
2026-08-15,DEL-BOM,Air India,Airline,30,5000

2026-08-15,DEL-BLR,IndiGo,Airline,1,13000
2026-08-15,DEL-BLR,Air India,Airline,1,13800
2026-08-15,DEL-BLR,IndiGo,Airline,7,6700
2026-08-15,DEL-BLR,Air India,Airline,7,7400
2026-08-15,DEL-BLR,IndiGo,Airline,30,5500
2026-08-15,DEL-BLR,Air India,Airline,30,6000

2026-08-15,BOM-BLR,IndiGo,Airline,1,9600
2026-08-15,BOM-BLR,Air India,Airline,1,10300
2026-08-15,BOM-BLR,IndiGo,Airline,7,5100
2026-08-15,BOM-BLR,Air India,Airline,7,5700
2026-08-15,BOM-BLR,IndiGo,Airline,30,4000
2026-08-15,BOM-BLR,Air India,Airline,30,4600

2026-08-15,DEL-HYD,IndiGo,Airline,1,10800
2026-08-15,DEL-HYD,Air India,Airline,1,11600
2026-08-15,DEL-HYD,IndiGo,Airline,7,5700
2026-08-15,DEL-HYD,Air India,Airline,7,6400
2026-08-15,DEL-HYD,IndiGo,Airline,30,4300
2026-08-15,DEL-HYD,Air India,Airline,30,4900

2026-08-22,DEL-BOM,IndiGo,Airline,1,10500
2026-08-22,DEL-BOM,Air India,Airline,1,11400
2026-08-22,DEL-BOM,IndiGo,Airline,7,5600
2026-08-22,DEL-BOM,Air India,Airline,7,6300
2026-08-22,DEL-BOM,IndiGo,Airline,30,4500
2026-08-22,DEL-BOM,Air India,Airline,30,5100

2026-08-22,DEL-BLR,IndiGo,Airline,1,12000
2026-08-22,DEL-BLR,Air India,Airline,1,12800
2026-08-22,DEL-BLR,IndiGo,Airline,7,6400
2026-08-22,DEL-BLR,Air India,Airline,7,7000
2026-08-22,DEL-BLR,IndiGo,Airline,30,5400
2026-08-22,DEL-BLR,Air India,Airline,30,5900

2026-08-22,BOM-BLR,IndiGo,Airline,1,9300
2026-08-22,BOM-BLR,Air India,Airline,1,10000
2026-08-22,BOM-BLR,IndiGo,Airline,7,4900
2026-08-22,BOM-BLR,Air India,Airline,7,5600
